CaseID,ActivityID,CompleteTimestamp,context
2,1,4/3/2012 16:55,1
2,8,4/3/2012 16:55,1
2,6,4/5/2012 17:15,1
3,1,10/29/2010 18:14,5
3,8,11/4/2010 1:16,5
3,6,11/4/2010 1:21,5
4,1,12/15/2010 23:31,1
4,8,12/16/2010 17:01,1
4,6,12/16/2010 17:08,1
5,1,4/3/2012 21:08,9
5,8,4/3/2012 21:45,9
5,6,4/3/2012 21:47,9
5,8,4/3/2012 22:15,9
5,6,4/4/2012 0:07,9
6,1,10/25/2011 23:13,7
6,8,10/25/2011 23:58,7
6,6,10/26/2011 17:54,7
8,1,7/5/2012 16:30,3
8,8,7/5/2012 17:25,3
8,6,7/5/2012 17:44,3
9,3,5/7/2010 21:02,8
9,1,5/7/2010 21:02,8
9,8,5/24/2010 18:26,8
9,6,5/25/2010 23:35,8
10,1,2/10/2010 17:50,4
10,8,3/19/2010 17:47,4
10,6,3/19/2010 17:47,4
11,1,12/22/2011 0:24,6
11,8,12/22/2011 0:25,6
11,6,12/22/2011 18:55,6
14,1,7/5/2011 21:47,7
14,8,7/5/2011 21:47,7
14,6,7/5/2011 21:52,7
16,1,2/22/2012 23:16,7
16,8,2/23/2012 1:14,7
16,8,2/23/2012 1:23,7
16,6,2/23/2012 18:47,7
17,1,10/14/2011 15:10,4
17,8,11/3/2011 1:17,4
17,6,11/9/2011 22:31,4
19,1,7/7/2010 15:54,1
19,8,7/9/2010 18:10,1
19,6,7/9/2010 18:11,1
21,1,1/15/2011 0:15,2
21,8,1/27/2011 17:06,2
21,6,1/27/2011 19:19,2
22,1,7/23/2012 15:49,9
22,8,7/23/2012 15:49,9
22,9,7/23/2012 16:51,9
22,6,8/27/2012 18:05,9
24,1,4/27/2010 17:49,7
24,8,6/8/2010 19:06,7
24,6,6/8/2010 22:46,7
25,1,12/30/2010 18:27,6
25,8,12/30/2010 22:14,6
25,6,12/31/2010 0:16,6
26,1,3/31/2011 15:28,9
26,8,3/31/2011 15:31,9
26,9,3/31/2011 16:39,9
26,8,3/31/2011 19:00,9
26,6,3/31/2011 19:00,9
27,1,11/24/2011 23:02,7
27,8,11/24/2011 23:02,7
27,6,12/12/2011 18:04,7
29,1,7/30/2012 18:07,8
29,8,7/30/2012 18:07,8
29,6,7/30/2012 20:29,8
30,1,1/21/2011 18:47,1
30,8,2/7/2011 18:19,1
30,6,2/10/2011 18:01,1
32,1,4/27/2011 15:38,6
32,8,4/27/2011 20:46,6
32,6,4/28/2011 16:18,6
35,1,1/18/2012 17:15,6
35,6,1/18/2012 18:46,6
36,1,6/29/2011 18:06,5
36,8,6/30/2011 20:58,5
36,6,7/5/2011 15:32,5
37,1,2/10/2011 20:13,6
37,8,2/10/2011 20:13,6
37,6,2/11/2011 0:20,6
37,6,3/2/2011 22:23,6
37,8,3/2/2011 22:24,6
37,9,3/3/2011 0:27,6
37,8,3/4/2011 18:37,6
37,6,3/4/2011 18:37,6
38,1,3/20/2012 16:57,3
38,8,3/20/2012 16:58,3
38,6,3/20/2012 17:18,3
40,1,8/9/2012 20:13,4
40,8,8/9/2012 20:13,4
40,6,8/9/2012 20:46,4
41,1,12/14/2010 19:44,1
41,8,12/14/2010 19:44,1
41,6,12/14/2010 19:45,1
42,1,6/16/2011 20:23,2
42,8,6/16/2011 20:51,2
42,6,6/16/2011 21:39,2
43,1,4/10/2012 16:56,8
43,8,4/10/2012 17:27,8
43,6,4/10/2012 18:53,8
44,1,11/30/2010 1:09,9
44,8,11/30/2010 1:19,9
44,6,11/30/2010 1:20,9
45,1,1/20/2012 23:08,1
45,8,1/25/2012 20:46,1
45,6,3/2/2012 19:40,1
47,1,5/25/2011 17:48,6
47,8,5/25/2011 17:48,6
47,6,5/30/2011 23:04,6
48,3,12/1/2010 22:42,9
48,1,12/2/2010 23:07,9
48,8,12/2/2010 23:07,9
48,6,12/2/2010 23:08,9
49,1,11/25/2011 23:33,5
49,8,11/25/2011 23:47,5
49,9,11/29/2011 23:47,5
49,6,12/3/2011 1:25,5
50,1,1/16/2012 19:53,6
50,8,1/16/2012 19:59,6
50,6,1/17/2012 1:37,6
50,6,1/17/2012 1:37,6
51,1,6/13/2012 21:55,3
51,8,6/14/2012 15:07,3
51,9,6/15/2012 15:16,3
51,6,7/2/2012 17:41,3
52,1,7/26/2012 23:18,4
52,8,7/26/2012 23:18,4
52,6,7/27/2012 18:46,4
53,1,10/14/2010 21:53,9
53,8,10/15/2010 21:02,9
53,9,10/28/2010 23:12,9
53,9,10/28/2010 23:12,9
53,8,10/29/2010 21:42,9
53,6,11/4/2010 17:48,9
55,1,10/26/2011 23:51,4
55,8,11/1/2011 0:19,4
55,9,11/7/2011 17:44,4
55,6,11/21/2011 17:21,4
56,1,1/30/2012 20:32,4
56,6,1/30/2012 20:33,4
57,1,10/29/2010 17:39,4
57,8,11/2/2010 23:56,4
57,6,11/3/2010 0:39,4
59,1,3/28/2012 20:28,9
59,8,3/28/2012 20:28,9
59,6,3/28/2012 23:32,9
59,6,3/28/2012 23:32,9
60,1,4/6/2011 23:35,1
60,8,4/6/2011 23:36,1
60,9,4/7/2011 23:41,1
60,8,4/13/2011 16:49,1
60,6,4/13/2011 16:49,1
61,1,9/16/2011 15:04,9
61,8,9/16/2011 15:18,9
61,6,9/16/2011 23:04,9
62,1,5/28/2012 23:16,6
62,6,5/28/2012 23:18,6
64,1,4/14/2011 23:54,1
64,1,4/14/2011 23:54,1
64,9,4/15/2011 18:41,1
64,8,4/27/2011 18:30,1
64,9,4/27/2011 18:30,1
64,8,5/6/2011 17:42,1
64,6,5/6/2011 17:42,1
66,1,6/26/2012 16:46,4
66,8,6/26/2012 16:47,4
66,6,6/26/2012 21:05,4
67,1,12/31/2010 0:03,1
67,8,1/11/2011 17:40,1
67,6,1/13/2011 20:45,1
68,1,4/11/2012 22:09,1
68,8,4/11/2012 22:09,1
68,6,4/12/2012 18:31,1
70,1,6/7/2011 15:34,6
70,8,6/7/2011 15:35,6
70,9,7/8/2011 16:44,6
70,6,7/12/2011 15:00,6
71,1,11/2/2011 17:20,2
71,8,11/2/2011 17:20,2
71,6,11/2/2011 18:49,2
72,1,1/25/2011 22:15,9
72,8,1/25/2011 22:15,9
